timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-2.93,5.72,0.51,-0.09,0.04,-1.10
7,-2.15,4.93,1.15,-0.10,0.05,-1.11
14,-2.39,4.68,0.19,-0.07,0.10,-1.11
21,-2.21,5.62,-0.96,-0.09,0.08,-1.12
28,-1.98,4.94,-1.96,-0.09,0.05,-1.11
35,-1.15,4.22,-1.22,-0.11,-0.00,-1.11
42,0.62,3.42,-0.63,-0.11,0.00,-1.11
49,-0.88,4.13,-1.32,-0.07,0.07,-1.10
56,-0.40,4.67,-1.39,-0.08,0.07,-1.10
63,1.01,3.19,-3.21,-0.07,0.05,-1.08
70,0.88,3.79,-3.24,-0.08,0.02,-1.10
77,0.59,4.11,-2.84,-0.08,0.02,-1.10
84,0.28,3.03,-3.06,-0.06,0.05,-1.09
91,1.21,2.46,-0.97,-0.06,0.06,-1.08
98,1.14,1.66,-2.54,-0.05,0.11,-1.08
105,-1.00,4.26,-2.13,-0.06,0.06,-1.09
112,-0.59,3.98,-2.26,-0.08,0.00,-1.09
119,-1.87,3.55,-0.62,-0.08,-0.03,-1.07
126,-2.48,6.49,1.42,-0.09,-0.00,-1.10
133,-3.11,6.24,0.11,-0.06,0.05,-1.09
140,-3.20,6.63,0.38,-0.08,0.05,-1.08
147,-1.12,4.21,-1.25,-0.09,0.03,-1.08
154,-1.71,4.64,-0.94,-0.09,0.02,-1.10
161,-1.92,5.04,0.99,-0.11,0.00,-1.12
168,-0.90,2.56,-0.81,-0.07,0.07,-1.10
175,-0.20,3.20,-0.85,-0.08,0.07,-1.11
182,0.99,2.81,-2.34,-0.07,0.06,-1.11
189,0.12,4.08,-3.07,-0.07,0.03,-1.09
197,0.98,2.59,-2.26,-0.07,0.01,-1.09
205,-3.08,6.90,1.86,-0.09,-0.01,-1.09
214,-2.42,4.82,-0.21,-0.07,0.12,-1.11
221,-3.16,7.15,-0.95,-0.09,0.09,-1.12
228,-0.99,4.47,-2.77,-0.09,0.05,-1.09
235,-0.84,4.48,-1.67,-0.10,0.01,-1.10
243,0.23,3.69,-2.23,-0.07,0.03,-1.08
250,0.37,3.54,-0.44,-0.06,0.07,-1.10
258,-0.06,2.82,-1.91,-0.04,0.11,-1.09
265,-1.82,4.25,-0.40,-0.09,0.03,-1.10
274,-1.99,4.77,-0.81,-0.10,0.02,-1.12
281,0.68,3.45,-0.68,-0.11,0.01,-1.11
289,0.55,2.13,-1.58,-0.07,0.05,-1.08
296,0.78,3.44,-1.55,-0.07,0.04,-1.08
303,1.93,2.31,-3.47,-0.06,0.05,-1.09
310,1.25,3.90,-3.70,-0.07,0.01,-1.07
318,1.20,2.97,-2.85,-0.07,-0.02,-1.07
326,-2.97,6.15,1.72,-0.10,0.05,-1.10
334,-3.39,5.60,0.14,-0.07,0.12,-1.11
342,-0.19,4.44,-2.31,-0.08,0.08,-1.11
349,1.26,3.79,-3.78,-0.07,0.03,-1.09
356,0.06,4.50,-2.38,-0.10,-0.01,-1.10
363,0.95,3.22,-2.02,-0.08,0.01,-1.09
370,0.30,3.33,-2.26,-0.05,0.05,-1.09
377,0.60,4.28,-2.51,-0.05,0.06,-1.07
385,-1.64,3.97,-0.64,-0.07,0.05,-1.09
393,-2.26,4.19,-0.65,-0.09,0.02,-1.11
400,-3.48,5.84,1.10,-0.10,0.05,-1.11
407,-1.41,2.93,0.56,-0.10,0.07,-1.11
415,-0.94,3.33,-0.37,-0.08,0.09,-1.11
423,1.89,2.29,-3.33,-0.06,0.05,-1.09
430,0.94,4.22,-3.66,-0.08,0.01,-1.09
437,0.92,4.53,-3.14,-0.07,0.02,-1.09
444,0.91,3.04,-3.54,-0.06,0.05,-1.08
451,0.94,3.07,-1.49,-0.06,0.07,-1.08
458,0.62,2.68,-2.67,-0.04,0.10,-1.08
465,-1.04,3.32,-0.74,-0.07,0.05,-1.08
472,-1.51,3.57,-1.07,-0.07,0.02,-1.09
479,-1.14,3.53,-1.18,-0.07,-0.02,-1.08
486,-2.24,6.55,1.31,-0.08,-0.00,-1.08
493,-1.98,5.57,0.43,-0.06,0.05,-1.09
500,-2.65,5.12,0.24,-0.08,0.05,-1.09
507,-1.54,3.59,-0.30,-0.10,0.03,-1.10
514,-2.32,4.04,-0.16,-0.10,0.01,-1.11
521,-3.37,5.58,1.41,-0.11,0.03,-1.11
528,-1.81,3.95,0.61,-0.09,0.08,-1.11
535,-1.69,4.55,-0.17,-0.08,0.09,-1.09
542,1.33,2.97,-3.08,-0.06,0.05,-1.08
551,1.09,4.12,-3.06,-0.08,-0.02,-1.07
558,-0.06,2.86,-1.88,-0.07,-0.04,-1.08
566,-2.10,5.25,1.26,-0.09,0.02,-1.10
574,-1.41,3.68,0.04,-0.08,0.09,-1.11
581,-0.87,4.25,-1.58,-0.08,0.09,-1.11
588,-1.65,4.87,-2.37,-0.09,0.05,-1.09
595,-1.47,3.86,-0.63,-0.11,-0.00,-1.11
603,0.55,2.79,-2.61,-0.07,0.04,-1.08
611,0.07,3.65,-1.02,-0.06,0.06,-1.08
619,-2.38,5.20,-0.14,-0.06,0.06,-1.08
627,-1.45,4.41,-1.69,-0.09,0.04,-1.10
635,-0.72,4.12,-1.39,-0.11,-0.01,-1.10
643,0.49,2.52,-2.71,-0.07,0.03,-1.09
650,-0.63,3.66,-1.19,-0.07,0.06,-1.09
657,-0.41,5.17,-1.79,-0.06,0.06,-1.10
664,-1.21,4.74,-2.83,-0.05,0.05,-1.06
671,-0.20,4.24,-2.75,-0.08,0.00,-1.09
678,-0.82,3.40,-1.43,-0.08,-0.02,-1.07
687,-1.01,3.11,-0.04,-0.09,0.06,-1.09
695,-0.25,3.89,-0.81,-0.08,0.06,-1.08
703,0.48,3.88,-3.28,-0.05,0.06,-1.07
711,-0.60,4.37,-2.65,-0.08,0.01,-1.10
720,-2.78,5.76,0.52,-0.10,0.04,-1.12
727,-0.83,3.15,0.06,-0.09,0.06,-1.13
734,-0.84,3.56,-0.54,-0.07,0.12,-1.09
741,-1.14,5.17,-1.82,-0.09,0.11,-1.11
749,0.60,3.89,-3.31,-0.07,0.04,-1.09
756,0.37,4.36,-2.11,-0.09,0.01,-1.12
763,0.49,2.84,-3.04,-0.07,0.03,-1.10
770,0.51,3.36,-0.88,-0.06,0.07,-1.09
778,0.23,1.92,-1.37,-0.05,0.09,-1.08
785,-1.69,3.97,-0.89,-0.08,0.04,-1.10
792,-1.28,3.75,-1.42,-0.08,0.02,-1.09
799,-2.76,4.55,0.09,-0.08,-0.01,-1.07
807,-1.25,3.67,0.34,-0.10,0.07,-1.12
814,-1.36,4.10,-0.57,-0.07,0.11,-1.11
824,-0.89,4.25,-3.03,-0.04,0.05,-1.07
832,-1.59,3.77,-1.26,-0.09,0.02,-1.11
840,-2.98,5.51,0.52,-0.11,0.05,-1.12
848,-0.34,2.18,-1.19,-0.08,0.07,-1.10
855,0.24,3.28,-1.29,-0.07,0.07,-1.09
862,1.58,2.84,-3.24,-0.07,0.08,-1.10
869,0.92,3.87,-3.15,-0.07,0.02,-1.09
877,0.52,2.52,-1.93,-0.07,0.00,-1.08
885,-2.20,5.69,0.77,-0.07,-0.00,-1.09
