85,-3478,2232,3532
87,-6994,3134,2916
88,-4596,1996,1240
89,-4816,7440,892
91,-196,2762,-1082
92,-822,664,-332
94,266,4594,-1206
95,4358,3130,-2404
96,4588,5054,-5008
98,4658,3418,-5542
99,5730,3230,-4640
100,4190,4968,-5902
102,4604,2834,-7280
103,3984,5764,-7140
104,3332,4764,-7832
106,2022,3372,-6510
107,-1838,4082,-5560
109,-1362,3796,-5966
110,-1620,4374,-5900
111,-3618,3906,-4282
113,-4556,3606,-358
114,-5182,3838,-128
115,-2888,2604,476
117,-2446,1744,2718
118,-3842,2770,5254
120,-654,196,5608
121,14,2400,4878
122,-3526,4494,6918
124,-3146,2308,5292
125,-5850,2064,5658
127,-3880,2028,5346
128,-4648,4454,3646
129,-6658,3748,1808
131,-4306,4182,1314
132,-1666,3794,396
133,-1814,1504,-950
135,-1798,4070,-1124
136,2732,4618,-2214
137,4038,4100,-5476
139,3654,3624,-5226
140,4784,3452,-5210
142,4524,5132,-5940
143,4618,3618,-7582
144,3890,3652,-7946
146,3450,5052,-6912
147,2374,3634,-7470
149,408,3614,-6294
150,-646,3682,-6454
151,-884,4108,-5876
153,-2068,3874,-4272
154,-4406,3888,-2842
155,-4392,4510,-94
157,-3216,2670,-442
158,-2956,2540,1432
160,-2876,2658,4240
161,-2048,2866,6324
162,2932,-326,5430
164,-3256,3976,6100
165,-5024,2720,6322
166,-4508,2400,6710
168,-4186,2564,4586
169,-5098,2132,4146
171,-5810,3396,3238
172,-5524,4856,1804
173,-4652,5510,-62
175,-1862,3002,-1168
176,-2492,3522,-252
177,428,3814,-2446
179,2282,4572,-3376
180,3046,3736,-4664
182,3914,3856,-6186
183,4776,4252,-6160
184,4858,4906,-6238
186,3698,4050,-7146
187,3558,3598,-7506
188,2622,4760,-7278
190,1628,4006,-6994
191,110,3792,-6558
193,-772,3860,-5832
194,-1226,3978,-4194
195,-3846,3812,-3284
197,-4382,3944,-1990
198,-3416,3928,416
199,-3514,2910,1004
201,-3838,2296,3748
202,-1840,2064,4328
204,-2672,2588,5910
205,1920,-406,5094
206,-1954,3648,5998
208,-5926,4252,4022
209,-3486,1830,7402
210,-3058,2772,3542
212,-4786,2560,1632
213,-6122,3354,2434
215,-6218,4610,1364
216,-5436,4928,-952
217,-1154,3220,-1472
219,-1678,1782,-1980
220,-400,4824,-1908
221,3582,4200,-3768
223,3826,4006,-6194
224,3562,4244,-5242
226,5416,3590,-5814
227,3802,5468,-5670
228,4374,3704,-7244
230,3876,4952,-7078
231,2564,4790,-6702
232,1948,3824,-5678
234,76,4270,-5042
235,-1114,3656,-5120
237,-1196,4028,-4364
238,-3718,3754,-2934
239,-4718,4306,-1488
241,-4658,3284,50
242,-3340,2650,1084
244,-3168,2604,3848
245,-2290,2446,4224
246,616,2264,5388
248,1408,1928,5618
249,-4346,2234,5340
250,-5032,1880,6240
252,-3344,2974,5128
253,-4122,2332,2708
255,-7390,1924,2876
256,-4820,3132,1444
257,-4852,4556,-858
259,-4308,3038,-2642
260,-5614,6850,-592
261,-2788,1096,-4582
