timestamp,mpu_accX,mpu_accY,mpu_accZ,mpu_gyrX,mpu_gyrY,mpu_gyrZ
768,2.48,-6.21,7.92,-0.07,0.04,-1.11
775,2.52,-6.22,7.86,-0.07,0.04,-1.09
784,2.47,-6.24,7.93,-0.08,0.04,-1.10
792,2.50,-6.26,7.89,-0.08,0.04,-1.09
798,2.48,-6.26,7.93,-0.08,0.04,-1.07
805,2.50,-6.25,7.89,-0.08,0.04,-1.08
811,2.46,-6.23,7.77,-0.08,0.04,-1.08
817,2.48,-6.22,7.91,-0.08,0.04,-1.09
823,2.43,-6.25,7.93,-0.08,0.04,-1.09
830,2.45,-6.23,7.85,-0.07,0.04,-1.10
836,2.44,-6.23,7.89,-0.07,0.04,-1.09
843,2.43,-6.28,7.96,-0.07,0.04,-1.11
851,2.47,-6.24,7.89,-0.08,0.04,-1.10
858,2.55,-6.18,7.89,-0.07,0.05,-1.07
866,2.50,-6.22,7.91,-0.08,0.04,-1.07
873,2.44,-6.25,7.97,-0.08,0.04,-1.07
881,2.42,-6.20,7.86,-0.08,0.04,-1.10
888,2.40,-6.29,7.85,-0.07,0.04,-1.07
895,2.44,-6.27,7.92,-0.07,0.04,-1.09
901,2.48,-6.27,7.99,-0.07,0.04,-1.11
908,2.48,-6.25,8.00,-0.08,0.04,-1.12
915,2.48,-6.18,7.89,-0.07,0.05,-1.09
922,2.47,-6.16,7.88,-0.08,0.04,-1.07
929,2.49,-6.28,7.92,-0.08,0.04,-1.07
935,2.46,-6.21,7.88,-0.08,0.05,-1.10
942,2.45,-6.19,7.86,-0.07,0.04,-1.09
950,2.46,-6.21,7.86,-0.07,0.04,-1.09
958,2.48,-6.22,7.88,-0.07,0.04,-1.10
965,2.47,-6.27,7.91,-0.07,0.04,-1.09
972,2.50,-6.18,7.84,-0.08,0.04,-1.10
980,2.50,-6.20,7.91,-0.08,0.04,-1.08
986,2.54,-6.22,7.88,-0.08,0.04,-1.08
994,2.41,-6.26,7.91,-0.08,0.05,-1.08
1001,2.44,-6.27,7.87,-0.08,0.04,-1.07
1008,2.47,-6.17,7.88,-0.08,0.05,-1.11
1016,2.46,-6.17,7.91,-0.07,0.04,-1.11
1024,2.54,-6.26,7.88,-0.07,0.04,-1.10
1031,2.49,-6.26,7.97,-0.07,0.04,-1.09
1039,2.41,-6.28,7.95,-0.08,0.04,-1.08
1046,2.47,-6.24,7.86,-0.08,0.04,-1.07
1053,2.43,-6.27,7.83,-0.08,0.04,-1.09
1061,2.42,-6.24,7.88,-0.08,0.04,-1.09
1067,2.45,-6.21,7.87,-0.08,0.04,-1.09
1073,2.40,-6.28,7.81,-0.07,0.04,-1.09
1080,2.49,-6.22,7.87,-0.07,0.04,-1.10
1086,2.45,-6.23,7.88,-0.07,0.04,-1.10
1093,2.48,-6.25,7.97,-0.07,0.04,-1.09
1101,2.49,-6.19,7.97,-0.07,0.04,-1.09
1108,2.49,-6.22,7.95,-0.08,0.04,-1.09
1115,2.49,-6.26,7.91,-0.08,0.04,-1.07
1121,2.47,-6.21,7.97,-0.08,0.04,-1.08
1128,2.46,-6.24,7.87,-0.08,0.05,-1.09
1135,2.49,-6.24,7.88,-0.08,0.04,-1.08
1141,2.42,-6.21,7.95,-0.07,0.04,-1.09
1148,2.48,-6.17,7.84,-0.07,0.04,-1.10
1155,2.47,-6.19,7.94,-0.07,0.04,-1.09
1162,2.46,-6.25,7.89,-0.08,0.04,-1.08
1169,2.52,-6.23,7.97,-0.08,0.05,-1.09
1176,2.44,-6.17,7.87,-0.08,0.04,-1.09
1183,2.47,-6.20,7.89,-0.08,0.04,-1.07
1190,2.43,-6.24,7.81,-0.08,0.04,-1.10
1198,2.43,-6.28,7.89,-0.08,0.04,-1.09
1205,2.45,-6.21,7.85,-0.07,0.04,-1.10
1213,2.44,-6.27,7.93,-0.07,0.04,-1.12
1220,2.46,-6.29,7.87,-0.07,0.04,-1.09
1229,2.50,-6.19,7.92,-0.08,0.04,-1.08
1237,2.49,-6.18,7.92,-0.08,0.04,-1.08
1245,2.45,-6.24,7.83,-0.07,0.04,-1.09
1252,2.44,-6.23,7.90,-0.08,0.04,-1.07
1259,2.43,-6.26,7.85,-0.07,0.04,-1.09
1267,2.45,-6.19,7.88,-0.08,0.04,-1.10
1275,2.48,-6.20,7.92,-0.08,0.04,-1.10
1283,2.53,-6.25,7.85,-0.07,0.04,-1.09
1292,2.47,-6.19,7.91,-0.08,0.04,-1.09
1300,2.52,-6.24,7.86,-0.08,0.04,-1.10
1307,2.45,-6.19,7.87,-0.08,0.04,-1.08
1315,2.47,-6.22,7.89,-0.08,0.05,-1.06
1323,2.43,-6.28,7.91,-0.08,0.04,-1.10
1330,2.43,-6.24,7.90,-0.08,0.04,-1.10
1336,2.47,-6.24,7.98,-0.08,0.04,-1.10
1343,2.52,-6.28,7.84,-0.07,0.04,-1.11
1351,2.43,-6.25,7.99,-0.08,0.04,-1.09
1358,2.52,-6.21,7.92,-0.08,0.05,-1.06
1367,2.44,-6.27,7.85,-0.08,0.04,-1.06
1375,2.39,-6.23,7.87,-0.08,0.04,-1.09
1382,2.42,-6.25,7.84,-0.08,0.04,-1.09
1389,2.47,-6.23,7.95,-0.08,0.04,-1.09
1396,2.50,-6.26,7.93,-0.07,0.04,-1.09
1404,2.47,-6.23,7.91,-0.08,0.04,-1.10
1410,2.56,-6.17,7.91,-0.07,0.04,-1.10
1418,2.51,-6.21,7.86,-0.08,0.04,-1.10
1425,2.45,-6.22,7.85,-0.08,0.05,-1.09
