timestamp,mpu_accX,mpu_accY,mpu_accZ,mpu_gyrX,mpu_gyrY,mpu_gyrZ
781,2.52,-6.20,7.90,-0.08,0.04,-1.10
788,2.47,-6.29,7.98,-0.08,0.04,-1.08
796,2.48,-6.19,7.92,-0.08,0.04,-1.09
803,2.49,-6.19,7.93,-0.08,0.04,-1.10
809,2.49,-6.26,7.86,-0.07,0.04,-1.10
816,2.50,-6.22,7.85,-0.08,0.04,-1.08
822,2.51,-6.21,7.89,-0.08,0.04,-1.10
829,2.49,-6.25,7.92,-0.07,0.04,-1.08
835,2.44,-6.21,7.93,-0.08,0.04,-1.07
841,2.44,-6.25,7.92,-0.08,0.04,-1.08
848,2.48,-6.24,7.86,-0.08,0.04,-1.08
854,2.46,-6.23,7.86,-0.08,0.04,-1.06
860,2.47,-6.20,7.89,-0.08,0.04,-1.10
867,2.50,-6.28,7.90,-0.08,0.04,-1.10
873,2.41,-6.26,7.85,-0.08,0.04,-1.07
879,2.50,-6.24,7.87,-0.08,0.04,-1.09
888,2.45,-6.24,7.78,-0.08,0.04,-1.08
896,2.41,-6.23,7.82,-0.08,0.04,-1.09
903,2.44,-6.23,7.91,-0.08,0.04,-1.09
911,2.46,-6.24,7.94,-0.08,0.04,-1.07
918,2.41,-6.23,7.92,-0.08,0.04,-1.08
925,2.41,-6.23,7.95,-0.08,0.04,-1.09
931,2.49,-6.29,7.91,-0.08,0.04,-1.09
938,2.47,-6.24,7.85,-0.08,0.04,-1.07
944,2.46,-6.20,7.88,-0.07,0.04,-1.09
951,2.46,-6.20,7.94,-0.08,0.04,-1.09
957,2.41,-6.19,7.93,-0.08,0.04,-1.08
963,2.44,-6.25,7.84,-0.07,0.04,-1.07
970,2.50,-6.21,7.92,-0.07,0.04,-1.09
976,2.47,-6.22,7.83,-0.08,0.04,-1.09
982,2.48,-6.23,7.76,-0.07,0.04,-1.11
990,2.50,-6.26,7.90,-0.07,0.04,-1.09
997,2.39,-6.22,7.90,-0.08,0.04,-1.09
1004,2.49,-6.23,7.94,-0.08,0.04,-1.09
1010,2.47,-6.17,7.79,-0.07,0.04,-1.08
1017,2.46,-6.19,7.94,-0.08,0.04,-1.09
1023,2.52,-6.23,7.80,-0.07,0.04,-1.09
1030,2.43,-6.22,7.82,-0.08,0.04,-1.08
1036,2.53,-6.25,7.86,-0.07,0.04,-1.09
1042,2.43,-6.15,7.96,-0.08,0.04,-1.10
1049,2.53,-6.19,7.87,-0.08,0.04,-1.09
1056,2.44,-6.23,7.94,-0.08,0.04,-1.08
1064,2.45,-6.27,7.88,-0.07,0.04,-1.09
1071,2.47,-6.18,7.85,-0.08,0.04,-1.08
1080,2.46,-6.21,7.86,-0.08,0.04,-1.08
1088,2.51,-6.22,7.94,-0.08,0.04,-1.08
1096,2.44,-6.24,7.88,-0.08,0.04,-1.06
1104,2.49,-6.22,7.91,-0.07,0.04,-1.09
1112,2.44,-6.26,7.86,-0.07,0.04,-1.10
1119,2.44,-6.24,7.87,-0.08,0.04,-1.08
1126,2.49,-6.19,7.84,-0.08,0.04,-1.09
1132,2.43,-6.24,7.90,-0.08,0.04,-1.08
1139,2.44,-6.23,7.89,-0.08,0.04,-1.09
1145,2.47,-6.21,7.93,-0.08,0.04,-1.08
1153,2.48,-6.23,7.93,-0.08,0.04,-1.08
1160,2.49,-6.24,7.96,-0.08,0.04,-1.10
1167,2.50,-6.21,7.85,-0.08,0.04,-1.10
1173,2.43,-6.20,7.93,-0.08,0.04,-1.09
1181,2.52,-6.24,7.91,-0.08,0.04,-1.10
1187,2.45,-6.21,7.87,-0.08,0.04,-1.09
1193,2.44,-6.24,7.86,-0.08,0.04,-1.08
1201,2.42,-6.21,7.89,-0.08,0.04,-1.08
1210,2.45,-6.23,7.89,-0.08,0.04,-1.08
1217,2.49,-6.24,7.83,-0.08,0.04,-1.07
1225,2.41,-6.20,7.86,-0.08,0.04,-1.11
1232,2.48,-6.24,7.95,-0.08,0.04,-1.09
1241,2.45,-6.22,7.89,-0.07,0.04,-1.08
1249,2.46,-6.24,7.92,-0.08,0.04,-1.08
1256,2.42,-6.24,7.85,-0.08,0.04,-1.08
1264,2.48,-6.28,7.95,-0.08,0.04,-1.08
1271,2.46,-6.16,7.90,-0.08,0.04,-1.08
1279,2.54,-6.20,7.97,-0.08,0.04,-1.09
1286,2.45,-6.27,7.79,-0.08,0.04,-1.09
