timestamp,mpu_accX,mpu_accY,mpu_accZ,mpu_gyrX,mpu_gyrY,mpu_gyrZ
760,2.43,-6.21,7.93,-0.08,0.04,-1.08
769,2.47,-6.22,7.98,-0.07,0.04,-1.10
775,2.46,-6.23,7.95,-0.07,0.04,-1.08
781,2.45,-6.20,7.87,-0.08,0.04,-1.09
787,2.50,-6.24,7.93,-0.08,0.05,-1.08
794,2.49,-6.21,7.85,-0.08,0.04,-1.08
800,2.48,-6.18,7.88,-0.07,0.04,-1.09
806,2.56,-6.22,7.87,-0.08,0.04,-1.08
813,2.42,-6.22,7.84,-0.08,0.04,-1.07
819,2.53,-6.24,7.86,-0.08,0.04,-1.09
826,2.46,-6.25,7.86,-0.07,0.04,-1.08
832,2.51,-6.17,7.85,-0.08,0.04,-1.09
839,2.46,-6.20,7.95,-0.07,0.04,-1.06
847,2.50,-6.26,7.89,-0.07,0.04,-1.09
855,2.45,-6.22,7.90,-0.07,0.04,-1.10
862,2.52,-6.19,7.86,-0.07,0.04,-1.09
870,2.43,-6.23,7.74,-0.07,0.04,-1.08
878,2.50,-6.21,7.95,-0.07,0.04,-1.07
885,2.45,-6.22,7.97,-0.07,0.04,-1.10
892,2.51,-6.26,7.90,-0.08,0.04,-1.10
901,2.45,-6.20,7.88,-0.08,0.04,-1.11
909,2.49,-6.22,7.97,-0.07,0.04,-1.09
918,2.47,-6.24,7.87,-0.08,0.04,-1.09
926,2.49,-6.25,7.98,-0.08,0.05,-1.08
934,2.48,-6.29,7.85,-0.07,0.04,-1.10
942,2.49,-6.25,7.97,-0.07,0.04,-1.12
950,2.49,-6.25,7.96,-0.08,0.04,-1.09
958,2.48,-6.21,7.80,-0.08,0.04,-1.11
965,2.44,-6.25,7.94,-0.07,0.04,-1.07
972,2.51,-6.21,7.91,-0.08,0.04,-1.08
979,2.45,-6.19,7.88,-0.08,0.04,-1.09
986,2.48,-6.29,7.86,-0.08,0.04,-1.09
994,2.48,-6.23,7.77,-0.08,0.04,-1.08
1001,2.47,-6.25,7.89,-0.07,0.04,-1.07
1008,2.45,-6.19,7.89,-0.08,0.04,-1.09
1015,2.42,-6.20,7.86,-0.08,0.04,-1.11
