timestamp,mpu_accX,mpu_accY,mpu_accZ,mpu_gyrX,mpu_gyrY,mpu_gyrZ
772,2.48,-6.20,7.93,-0.07,0.04,-1.10
779,2.47,-6.29,7.90,-0.07,0.04,-1.11
788,2.53,-6.21,7.81,-0.08,0.04,-1.06
796,2.45,-6.23,7.84,-0.08,0.04,-1.09
804,2.48,-6.20,7.94,-0.08,0.04,-1.07
812,2.44,-6.23,7.89,-0.08,0.04,-1.09
820,2.47,-6.27,7.84,-0.08,0.04,-1.10
828,2.48,-6.23,7.90,-0.07,0.04,-1.08
836,2.43,-6.20,7.95,-0.07,0.04,-1.09
845,2.49,-6.25,7.91,-0.08,0.04,-1.10
853,2.44,-6.25,7.86,-0.07,0.04,-1.08
860,2.45,-6.26,7.89,-0.08,0.04,-1.09
868,2.50,-6.19,7.83,-0.08,0.04,-1.09
875,2.46,-6.27,7.89,-0.07,0.04,-1.08
884,2.43,-6.26,7.81,-0.07,0.04,-1.09
891,2.39,-6.25,7.86,-0.07,0.04,-1.10
899,2.51,-6.23,7.90,-0.07,0.04,-1.09
906,2.47,-6.24,7.92,-0.08,0.04,-1.10
913,2.52,-6.21,7.82,-0.08,0.04,-1.09
921,2.49,-6.21,7.88,-0.08,0.04,-1.08
928,2.49,-6.22,7.80,-0.08,0.04,-1.09
935,2.43,-6.29,7.93,-0.08,0.04,-1.08
943,2.37,-6.20,7.88,-0.08,0.04,-1.08
951,2.46,-6.19,7.80,-0.08,0.04,-1.08
958,2.47,-6.22,7.94,-0.07,0.04,-1.11
965,2.47,-6.19,7.86,-0.07,0.04,-1.10
973,2.48,-6.18,7.93,-0.08,0.04,-1.08
980,2.51,-6.24,7.92,-0.08,0.04,-1.07
988,2.52,-6.22,7.95,-0.08,0.04,-1.08
995,2.46,-6.24,7.95,-0.08,0.04,-1.08
1002,2.45,-6.19,7.83,-0.07,0.04,-1.09
1009,2.42,-6.23,7.84,-0.07,0.04,-1.09
1016,2.46,-6.27,7.96,-0.07,0.04,-1.10
1023,2.43,-6.17,7.85,-0.07,0.04,-1.09
1030,2.48,-6.19,7.95,-0.08,0.04,-1.08
1036,2.47,-6.24,7.90,-0.08,0.04,-1.07
1043,2.47,-6.25,7.94,-0.08,0.04,-1.08
1050,2.43,-6.26,7.85,-0.08,0.04,-1.08
1057,2.48,-6.21,7.84,-0.08,0.04,-1.09
1064,2.45,-6.24,7.88,-0.08,0.04,-1.08
1072,2.41,-6.30,7.92,-0.07,0.04,-1.07
1080,2.46,-6.25,7.92,-0.08,0.04,-1.09
1087,2.47,-6.25,7.95,-0.07,0.04,-1.10
1095,2.46,-6.24,7.94,-0.08,0.04,-1.09
1102,2.50,-6.17,7.83,-0.07,0.04,-1.09
1109,2.44,-6.27,7.95,-0.08,0.04,-1.09
