timestamp,mpu_accX,mpu_accY,mpu_accZ,mpu_gyrX,mpu_gyrY,mpu_gyrZ
768,2.52,-6.26,7.89,-0.08,0.04,-1.09
776,2.38,-6.23,7.91,-0.08,0.04,-1.09
782,2.41,-6.21,7.89,-0.08,0.04,-1.08
789,2.49,-6.21,7.86,-0.08,0.04,-1.10
797,2.40,-6.22,7.81,-0.08,0.04,-1.07
804,2.44,-6.20,7.88,-0.08,0.04,-1.08
811,2.52,-6.21,7.94,-0.07,0.04,-1.11
817,2.47,-6.24,7.94,-0.08,0.04,-1.09
824,2.49,-6.23,7.85,-0.08,0.04,-1.06
832,2.47,-6.22,7.94,-0.08,0.04,-1.09
839,2.46,-6.24,7.87,-0.08,0.04,-1.09
848,2.47,-6.21,7.94,-0.07,0.04,-1.09
856,2.43,-6.20,7.82,-0.08,0.04,-1.10
865,2.55,-6.21,7.91,-0.08,0.04,-1.09
874,2.44,-6.28,7.98,-0.08,0.04,-1.09
882,2.43,-6.25,7.95,-0.07,0.04,-1.07
889,2.44,-6.25,7.89,-0.08,0.04,-1.07
895,2.51,-6.15,8.01,-0.08,0.04,-1.10
901,2.43,-6.22,7.79,-0.08,0.04,-1.08
909,2.44,-6.27,7.86,-0.08,0.04,-1.08
916,2.58,-6.22,7.98,-0.08,0.04,-1.09
922,2.44,-6.24,7.86,-0.08,0.04,-1.10
928,2.43,-6.22,7.88,-0.07,0.04,-1.09
935,2.46,-6.19,7.92,-0.08,0.04,-1.08
942,2.41,-6.25,7.87,-0.07,0.04,-1.09
949,2.48,-6.23,7.93,-0.08,0.04,-1.09
955,2.46,-6.22,7.89,-0.08,0.04,-1.09
962,2.41,-6.20,7.86,-0.08,0.04,-1.09
970,2.44,-6.25,7.96,-0.08,0.04,-1.09
977,2.45,-6.23,7.94,-0.08,0.04,-1.10
985,2.43,-6.25,7.88,-0.08,0.04,-1.10
992,2.51,-6.24,7.87,-0.07,0.04,-1.09
999,2.46,-6.22,7.84,-0.08,0.04,-1.10
1005,2.46,-6.22,7.83,-0.08,0.04,-1.10
1013,2.45,-6.18,7.96,-0.07,0.04,-1.10
1020,2.46,-6.23,7.88,-0.08,0.04,-1.09
1026,2.44,-6.19,8.03,-0.08,0.04,-1.08
1033,2.45,-6.24,7.87,-0.08,0.04,-1.10
1040,2.48,-6.21,7.84,-0.08,0.04,-1.08
1047,2.45,-6.19,7.90,-0.08,0.04,-1.09
1053,2.48,-6.18,7.89,-0.07,0.04,-1.09
1060,2.43,-6.23,7.95,-0.07,0.04,-1.09
1066,2.49,-6.21,7.96,-0.08,0.04,-1.09
1072,2.53,-6.26,7.85,-0.08,0.04,-1.07
1080,2.46,-6.18,7.88,-0.08,0.04,-1.08
1086,2.47,-6.20,7.97,-0.08,0.04,-1.10
1092,2.40,-6.26,7.96,-0.08,0.04,-1.09
1099,2.48,-6.23,7.91,-0.08,0.04,-1.09
1105,2.45,-6.20,7.84,-0.08,0.04,-1.11
1112,2.43,-6.25,7.89,-0.07,0.04,-1.09
1118,2.47,-6.25,7.84,-0.07,0.04,-1.09
1126,2.46,-6.23,7.94,-0.08,0.04,-1.08
1134,2.42,-6.24,7.92,-0.08,0.04,-1.10
1140,2.50,-6.26,7.89,-0.08,0.04,-1.09
1147,2.48,-6.27,7.94,-0.08,0.04,-1.08
1153,2.48,-6.25,7.96,-0.07,0.04,-1.09
1162,2.48,-6.18,7.89,-0.07,0.04,-1.10
1169,2.50,-6.19,7.92,-0.08,0.04,-1.11
1177,2.51,-6.13,7.85,-0.07,0.04,-1.10
1184,2.48,-6.22,7.87,-0.08,0.04,-1.07
1190,2.43,-6.27,7.86,-0.08,0.05,-1.06
1196,2.49,-6.24,7.94,-0.08,0.04,-1.07
1205,2.43,-6.24,7.94,-0.07,0.04,-1.10
1213,2.47,-6.22,7.88,-0.08,0.04,-1.10
1221,2.48,-6.22,7.96,-0.07,0.04,-1.10
1228,2.48,-6.24,7.95,-0.08,0.04,-1.08
1237,2.47,-6.24,7.85,-0.08,0.04,-1.08
1245,2.36,-6.22,7.96,-0.08,0.04,-1.08
1252,2.44,-6.25,7.83,-0.07,0.04,-1.11
1258,2.48,-6.24,7.92,-0.07,0.04,-1.12
1265,2.46,-6.23,7.98,-0.07,0.04,-1.11
1274,2.51,-6.18,8.02,-0.08,0.04,-1.08
1281,2.51,-6.21,7.89,-0.08,0.05,-1.08
1289,2.50,-6.22,7.92,-0.08,0.04,-1.10
1296,2.42,-6.28,7.84,-0.08,0.04,-1.09
1305,2.45,-6.30,7.90,-0.07,0.04,-1.10
1313,2.43,-6.26,7.95,-0.07,0.04,-1.10
1320,2.52,-6.20,7.90,-0.08,0.04,-1.09
1328,2.53,-6.23,7.96,-0.08,0.04,-1.09
1335,2.42,-6.22,7.86,-0.08,0.04,-1.08
1342,2.48,-6.23,7.81,-0.08,0.04,-1.08
1350,2.49,-6.22,7.88,-0.08,0.04,-1.10
1357,2.46,-6.21,8.00,-0.08,0.04,-1.08
1364,2.51,-6.23,7.87,-0.07,0.04,-1.09
1371,2.45,-6.23,7.95,-0.07,0.04,-1.08
1378,2.45,-6.21,7.90,-0.08,0.04,-1.10
1386,2.43,-6.25,7.96,-0.08,0.04,-1.10
1392,2.46,-6.24,7.88,-0.08,0.04,-1.09
1400,2.50,-6.23,7.96,-0.08,0.04,-1.09
1407,2.49,-6.23,7.92,-0.08,0.04,-1.10
1413,2.43,-6.21,7.93,-0.08,0.04,-1.08
1420,2.42,-6.19,7.89,-0.08,0.04,-1.09
