timestamp,mpu_accX,mpu_accY,mpu_accZ,mpu_gyrX,mpu_gyrY,mpu_gyrZ
792,2.45,-6.22,7.92,-0.08,0.04,-1.07
798,2.47,-6.27,7.95,-0.08,0.04,-1.09
805,2.47,-6.19,7.83,-0.08,0.04,-1.08
812,2.47,-6.27,7.90,-0.08,0.04,-1.09
820,2.48,-6.26,7.86,-0.08,0.04,-1.07
828,2.47,-6.24,7.85,-0.08,0.05,-1.09
835,2.45,-6.21,7.94,-0.08,0.04,-1.10
843,2.49,-6.25,7.84,-0.07,0.04,-1.11
851,2.46,-6.23,8.02,-0.07,0.04,-1.10
858,2.44,-6.23,7.95,-0.07,0.04,-1.08
865,2.46,-6.21,7.97,-0.08,0.04,-1.10
873,2.48,-6.22,7.96,-0.08,0.05,-1.09
881,2.44,-6.22,7.81,-0.08,0.04,-1.08
887,2.42,-6.20,7.88,-0.07,0.04,-1.08
896,2.43,-6.28,7.89,-0.07,0.04,-1.11
903,2.54,-6.20,7.83,-0.08,0.04,-1.09
909,2.47,-6.24,7.95,-0.08,0.04,-1.09
916,2.42,-6.23,7.86,-0.08,0.04,-1.09
922,2.46,-6.26,7.84,-0.08,0.04,-1.07
928,2.51,-6.17,7.86,-0.08,0.04,-1.08
935,2.52,-6.20,7.90,-0.08,0.04,-1.08
942,2.44,-6.21,7.93,-0.08,0.04,-1.09
948,2.43,-6.20,7.96,-0.08,0.04,-1.08
955,2.50,-6.25,7.89,-0.08,0.04,-1.07
962,2.45,-6.21,7.86,-0.08,0.04,-1.09
968,2.48,-6.25,7.91,-0.08,0.04,-1.09
975,2.47,-6.20,7.86,-0.08,0.04,-1.09
981,2.50,-6.19,7.88,-0.08,0.04,-1.09
989,2.41,-6.24,7.91,-0.08,0.04,-1.08
995,2.48,-6.26,7.90,-0.08,0.04,-1.09
1002,2.49,-6.21,7.91,-0.08,0.04,-1.08
1009,2.45,-6.22,7.81,-0.08,0.04,-1.10
1016,2.48,-6.23,7.90,-0.08,0.04,-1.09
1023,2.45,-6.19,7.85,-0.07,0.04,-1.09
1031,2.45,-6.22,7.94,-0.07,0.04,-1.07
1038,2.47,-6.21,7.99,-0.08,0.04,-1.11
1045,2.49,-6.26,7.91,-0.07,0.04,-1.08
1053,2.44,-6.23,7.88,-0.08,0.04,-1.08
1061,2.48,-6.30,7.88,-0.08,0.04,-1.09
1067,2.43,-6.25,7.92,-0.08,0.04,-1.08
1075,2.46,-6.27,7.98,-0.08,0.04,-1.07
1082,2.47,-6.23,7.93,-0.08,0.04,-1.08
1088,2.44,-6.19,7.89,-0.08,0.04,-1.09
1094,2.51,-6.24,7.93,-0.07,0.04,-1.10
1101,2.43,-6.27,7.93,-0.08,0.04,-1.11
1109,2.45,-6.21,7.92,-0.08,0.04,-1.09
1116,2.47,-6.26,7.84,-0.08,0.04,-1.08
1122,2.47,-6.23,7.92,-0.08,0.04,-1.07
1130,2.54,-6.19,7.87,-0.08,0.04,-1.07
1138,2.46,-6.25,7.91,-0.07,0.04,-1.08
1145,2.45,-6.25,7.87,-0.07,0.04,-1.08
1152,2.49,-6.22,7.90,-0.07,0.05,-1.09
1159,2.46,-6.18,7.90,-0.07,0.04,-1.08
1166,2.40,-6.23,7.89,-0.08,0.04,-1.08
1172,2.42,-6.24,7.89,-0.08,0.04,-1.09
1180,2.49,-6.24,7.79,-0.08,0.04,-1.09
1188,2.48,-6.23,7.79,-0.07,0.04,-1.08
1194,2.47,-6.21,7.83,-0.08,0.04,-1.10
1200,2.47,-6.24,7.90,-0.07,0.04,-1.10
1207,2.49,-6.22,7.85,-0.07,0.04,-1.09
1215,2.49,-6.24,7.87,-0.08,0.04,-1.09
1222,2.47,-6.21,7.84,-0.07,0.04,-1.10
1230,2.43,-6.26,7.95,-0.08,0.04,-1.09
1238,2.53,-6.21,7.87,-0.08,0.04,-1.10
1244,2.42,-6.20,7.88,-0.08,0.04,-1.10
1250,2.47,-6.21,7.92,-0.08,0.04,-1.08
1256,2.44,-6.23,7.83,-0.08,0.04,-1.09
1263,2.43,-6.20,7.86,-0.07,0.04,-1.10
1271,2.48,-6.17,7.86,-0.07,0.04,-1.08
1278,2.45,-6.23,7.87,-0.07,0.04,-1.08
1285,2.45,-6.24,7.88,-0.07,0.04,-1.11
1292,2.53,-6.20,7.91,-0.08,0.04,-1.09
1300,2.45,-6.22,7.85,-0.08,0.04,-1.09
1307,2.45,-6.23,7.94,-0.07,0.04,-1.09
1314,2.47,-6.22,7.86,-0.08,0.04,-1.10
1320,2.48,-6.23,7.88,-0.08,0.04,-1.08
1327,2.45,-6.22,7.79,-0.08,0.04,-1.09
1334,2.47,-6.23,7.96,-0.08,0.04,-1.11
1341,2.44,-6.19,7.88,-0.08,0.04,-1.09
1348,2.46,-6.19,7.76,-0.08,0.04,-1.09
1355,2.42,-6.22,7.95,-0.07,0.04,-1.08
1363,2.48,-6.20,7.89,-0.08,0.04,-1.08
1371,2.47,-6.25,7.97,-0.08,0.04,-1.10
1379,2.43,-6.24,7.88,-0.07,0.05,-1.09
1386,2.44,-6.20,7.78,-0.07,0.04,-1.09
1393,2.52,-6.21,7.91,-0.07,0.04,-1.10
1401,2.51,-6.20,7.88,-0.08,0.04,-1.10
1409,2.47,-6.24,7.86,-0.07,0.04,-1.09
1416,2.45,-6.16,7.86,-0.08,0.04,-1.10
1423,2.47,-6.25,7.85,-0.07,0.04,-1.09
1430,2.44,-6.21,7.89,-0.08,0.04,-1.09
1438,2.53,-6.24,7.85,-0.08,0.04,-1.09
