timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.78,-0.53,0.07,0.85,-0.61,1.28
12,-9.71,-0.54,0.13,0.43,-0.31,1.28
22,-9.67,-0.58,-0.20,-0.31,-0.73,1.40
32,-9.73,-0.57,-0.42,-0.18,-0.55,1.46
42,-9.76,-0.64,-0.21,0.85,-0.24,1.28
52,-9.71,-0.48,0.10,0.18,-0.43,1.16
62,-9.94,-0.56,-0.35,-0.24,-0.49,1.10
72,-9.74,-0.63,-0.48,0.12,-0.55,1.34
82,-9.69,-0.52,0.03,0.79,-0.18,1.34
92,-9.75,-0.46,0.23,0.79,-0.31,1.28
102,-9.83,-0.56,-0.13,0.00,-0.67,1.28
112,-9.95,-0.54,-0.23,0.37,-0.49,1.22
122,-9.95,-0.56,0.11,0.85,-0.37,1.34
132,-9.81,-0.53,0.11,0.31,-0.43,1.34
142,-9.72,-0.50,-0.25,-0.37,-0.79,1.34
152,-9.74,-0.53,-0.44,-0.12,-0.73,1.46
162,-9.45,-0.72,-0.16,0.61,-0.24,1.34
172,-9.75,-0.48,0.23,0.79,-0.49,1.22
182,-9.77,-0.61,-0.45,-0.24,-0.61,1.28
192,-9.81,-0.63,-0.36,0.31,-0.55,1.40
202,-9.74,-0.54,0.10,0.92,-0.37,1.40
212,-9.68,-0.53,0.13,0.49,-0.37,1.28
222,-9.81,-0.60,-0.21,-0.31,-0.55,1.40
232,-9.65,-0.59,-0.45,-0.18,-0.49,1.34
242,-9.85,-0.56,-0.17,0.73,-0.18,1.22
252,-9.76,-0.51,0.05,0.18,-0.49,1.34
262,-9.83,-0.49,-0.32,-0.31,-0.67,1.10
272,-9.82,-0.59,-0.41,0.00,-0.43,1.28
282,-9.57,-0.65,-0.02,0.73,-0.06,1.28
292,-9.79,-0.48,0.22,0.55,-0.24,1.28
302,-9.83,-0.49,-0.12,-0.18,-0.61,1.22
312,-9.68,-0.62,-0.48,0.37,-0.49,1.28
322,-9.88,-0.53,0.14,0.85,-0.37,1.28
332,-9.76,-0.50,0.06,0.31,-0.49,1.28
342,-9.81,-0.59,-0.31,-0.31,-0.73,1.22
352,-9.75,-0.55,-0.40,0.00,-0.43,1.16
362,-9.60,-0.57,-0.06,0.67,-0.37,1.34
372,-9.79,-0.54,0.17,0.85,-0.31,1.22
382,-10.03,-0.57,-0.40,-0.24,-0.73,1.28
392,-9.92,-0.61,-0.35,0.18,-0.61,1.28
402,-9.84,-0.52,0.07,0.85,-0.43,1.28
412,-9.77,-0.51,0.16,0.37,-0.43,1.22
422,-9.81,-0.53,-0.22,-0.18,-0.67,1.28
432,-9.63,-0.63,-0.50,-0.06,-0.79,1.40
442,-9.75,-0.58,-0.17,0.55,-0.37,1.34
452,-9.73,-0.54,0.03,0.12,-0.55,1.34
462,-9.80,-0.56,-0.35,-0.49,-0.61,1.34
472,-9.82,-0.59,-0.42,0.06,-0.55,1.28
482,-9.62,-0.59,-0.01,0.85,-0.37,1.22
492,-9.71,-0.51,0.23,0.49,-0.37,1.28
502,-9.83,-0.55,-0.10,-0.18,-0.67,1.22
512,-9.76,-0.58,-0.51,0.43,-0.55,1.22
522,-9.90,-0.57,0.16,0.79,-0.37,1.16
532,-9.79,-0.47,0.14,0.12,-0.49,1.34
542,-9.83,-0.48,-0.31,-0.31,-0.73,1.34
552,-9.65,-0.60,-0.47,0.00,-0.73,1.34
562,-9.46,-0.64,-0.06,0.73,-0.43,1.40
572,-9.83,-0.48,0.24,0.79,-0.24,1.40
582,-9.78,-0.46,-0.38,-0.37,-0.61,1.22
592,-9.84,-0.63,-0.31,0.24,-0.55,1.46
602,-9.78,-0.53,0.07,0.92,-0.31,1.46
612,-9.68,-0.56,0.10,0.55,-0.55,1.28
622,-9.71,-0.60,-0.22,-0.12,-0.61,1.28
632,-9.76,-0.54,-0.42,0.00,-0.67,1.34
642,-9.81,-0.61,-0.22,0.73,-0.37,1.22
652,-9.72,-0.48,0.12,0.24,-0.31,1.28
662,-9.91,-0.51,-0.32,-0.49,-0.61,1.40
672,-9.75,-0.63,-0.48,0.00,-0.61,1.16
682,-9.67,-0.54,0.00,0.79,-0.43,1.28
692,-9.81,-0.45,0.23,0.61,-0.43,1.34
702,-9.87,-0.52,-0.13,-0.12,-0.55,1.46
712,-9.70,-0.65,-0.52,-0.18,-0.55,1.22
722,-9.91,-0.56,0.10,0.79,-0.31,1.28
732,-9.77,-0.53,0.08,0.37,-0.37,1.22
742,-9.74,-0.51,-0.25,-0.24,-0.55,1.34
752,-9.76,-0.52,-0.41,0.12,-0.55,1.34
762,-9.50,-0.70,-0.14,0.73,-0.31,1.16
772,-9.71,-0.52,0.21,0.67,-0.31,1.22
782,-9.67,-0.49,-0.02,-0.49,-0.73,1.22
792,-9.86,-0.65,-0.38,0.24,-0.61,1.40
802,-9.80,-0.54,0.09,0.92,-0.24,1.40
812,-9.72,-0.51,0.15,0.43,-0.37,1.16
822,-9.88,-0.58,-0.22,-0.24,-0.73,1.34
832,-9.62,-0.60,-0.48,-0.18,-0.67,1.46
842,-9.83,-0.55,-0.14,0.55,-0.43,1.22
852,-9.95,-0.56,0.03,0.18,-0.55,1.22
862,-9.82,-0.51,-0.34,-0.18,-0.79,1.22
872,-9.84,-0.57,-0.39,0.12,-0.67,1.28
882,-9.55,-0.67,-0.04,0.79,-0.37,1.40
892,-9.74,-0.51,0.20,0.61,-0.37,1.46
902,-9.78,-0.51,-0.12,-0.12,-0.55,1.40
912,-9.71,-0.61,-0.49,-0.18,-0.61,1.16
922,-9.88,-0.54,0.16,0.92,-0.24,1.34
932,-9.76,-0.48,0.10,0.24,-0.37,1.28
942,-9.86,-0.55,-0.30,-0.37,-0.55,1.28
952,-9.67,-0.55,-0.43,-0.06,-0.73,1.28
962,-9.55,-0.59,-0.07,0.61,-0.37,1.22
972,-9.79,-0.52,0.19,0.67,-0.31,1.34
982,-9.76,-0.48,-0.08,0.00,-0.49,1.40
992,-9.97,-0.61,-0.33,0.31,-0.12,1.34
