timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.86,-0.70,-0.37,0.24,-0.61,1.34
10,-10.17,-0.39,0.09,0.98,-0.43,1.22
20,-9.83,-0.51,-0.10,-0.18,-0.61,1.40
30,-9.73,-0.49,-0.45,-0.18,-0.85,1.34
40,-9.83,-0.57,-0.27,0.49,-0.43,1.34
50,-9.61,-0.54,0.10,0.73,-0.37,1.28
60,-9.97,-0.40,0.23,0.31,-0.49,1.34
70,-9.95,-0.54,-0.33,-0.37,-0.49,1.22
80,-9.83,-0.68,-0.52,0.67,-0.31,1.28
90,-9.69,-0.48,0.32,0.85,-0.43,1.22
100,-9.68,-0.57,-0.14,0.06,-0.49,1.34
110,-9.60,-0.66,-0.50,-0.43,-0.73,1.34
120,-9.62,-0.47,-0.32,0.31,-0.49,1.40
130,-9.79,-0.70,0.10,0.67,-0.37,1.22
140,-9.67,-0.56,0.17,0.37,-0.37,1.22
150,-9.53,-0.56,-0.20,-0.37,-0.85,1.22
160,-9.46,-0.68,-0.21,0.67,-0.55,1.28
170,-9.84,-0.57,0.25,0.73,-0.31,1.34
180,-9.78,-0.42,0.04,0.00,-0.61,1.40
190,-10.00,-0.54,-0.42,-0.49,-0.67,1.34
200,-9.78,-0.75,-0.48,0.06,-0.61,1.22
210,-10.07,-0.38,0.10,0.67,-0.37,1.28
220,-10.07,-0.52,-0.14,-0.24,-0.61,1.22
230,-9.76,-0.49,-0.45,-0.18,-0.79,1.34
240,-9.89,-0.53,-0.21,0.49,-0.55,1.28
250,-9.64,-0.60,0.09,0.79,-0.31,1.22
260,-9.98,-0.46,0.18,0.31,-0.55,1.34
270,-9.82,-0.54,-0.28,-0.43,-0.73,1.34
280,-9.88,-0.62,-0.46,-0.06,-0.37,1.16
290,-9.72,-0.49,0.25,0.73,-0.37,1.22
300,-9.69,-0.51,-0.04,-0.06,-0.43,1.28
310,-9.61,-0.65,-0.47,-0.31,-0.61,1.28
320,-9.63,-0.50,-0.35,0.18,-0.43,1.28
330,-9.78,-0.65,0.14,0.79,-0.37,1.28
340,-9.70,-0.59,0.17,0.49,-0.49,1.04
350,-9.62,-0.52,-0.23,-0.18,-0.73,1.28
360,-9.58,-0.66,-0.13,0.67,-0.55,1.22
370,-9.81,-0.56,0.20,1.04,-0.49,1.16
380,-9.79,-0.47,-0.05,0.12,-0.61,1.16
390,-9.81,-0.55,-0.39,-0.31,-0.73,1.28
400,-9.80,-0.67,-0.36,0.18,-0.67,1.28
410,-10.14,-0.43,0.03,0.85,-0.31,1.22
420,-9.81,-0.48,-0.21,-0.12,-0.73,1.46
430,-9.70,-0.55,-0.40,-0.24,-0.73,1.28
440,-9.82,-0.56,-0.23,0.55,-0.55,1.16
450,-9.72,-0.49,0.09,0.92,-0.37,1.34
460,-9.96,-0.46,0.15,0.37,-0.61,1.28
470,-9.91,-0.57,-0.32,-0.31,-0.61,1.22
480,-9.89,-0.62,-0.48,0.06,-0.73,1.16
490,-9.67,-0.56,0.25,0.67,-0.37,1.28
500,-9.72,-0.57,-0.06,-0.12,-0.61,1.16
510,-9.59,-0.58,-0.46,-0.37,-0.73,1.28
520,-9.57,-0.52,-0.31,0.31,-0.61,1.22
530,-9.73,-0.73,0.13,0.73,-0.31,1.28
540,-9.74,-0.51,0.19,0.24,-0.37,1.22
550,-9.60,-0.47,-0.25,-0.31,-0.79,1.40
560,-9.54,-0.73,-0.18,0.49,-0.55,1.40
570,-9.86,-0.44,0.23,0.79,-0.24,1.34
580,-9.80,-0.46,-0.04,0.18,-0.55,1.34
590,-9.94,-0.59,-0.39,-0.43,-0.67,1.28
600,-9.90,-0.66,-0.36,0.18,-0.61,1.28
610,-10.21,-0.34,0.08,0.85,-0.18,1.28
620,-9.78,-0.52,0.09,-0.24,-0.73,1.40
630,-9.59,-0.50,-0.44,-0.24,-0.73,1.22
640,-9.82,-0.57,-0.27,0.49,-0.55,1.28
650,-9.62,-0.55,0.09,0.85,-0.37,1.46
660,-9.96,-0.40,0.21,0.24,-0.55,1.40
670,-9.87,-0.54,-0.34,-0.37,-0.73,1.28
680,-9.84,-0.69,-0.52,0.00,-0.61,1.34
690,-9.64,-0.72,0.17,0.73,-0.24,1.22
700,-9.65,-0.54,-0.08,-0.12,-0.61,1.28
710,-9.62,-0.65,-0.47,-0.31,-0.79,1.28
720,-9.61,-0.49,-0.33,0.49,-0.55,1.40
730,-9.88,-0.64,0.11,0.85,-0.37,1.40
740,-9.69,-0.57,0.14,0.43,-0.61,1.28
750,-9.54,-0.53,-0.21,-0.18,-0.73,1.46
760,-9.57,-0.72,-0.21,0.49,-0.43,1.34
770,-9.84,-0.52,0.19,0.79,-0.18,1.22
780,-9.84,-0.40,0.05,0.06,-0.49,1.16
790,-9.96,-0.51,-0.38,-0.43,-0.79,1.10
800,-9.79,-0.73,-0.44,0.18,-0.85,1.40
810,-10.07,-0.43,0.06,0.85,-0.67,1.40
820,-9.74,-0.48,0.15,0.55,-0.73,1.34
830,-9.76,-0.49,-0.45,-0.24,-0.92,1.22
840,-9.85,-0.50,-0.25,0.43,-0.37,1.34
850,-9.71,-0.61,0.07,0.79,-0.24,1.28
860,-9.93,-0.48,0.15,0.37,-0.49,1.34
870,-9.80,-0.56,-0.28,-0.24,-0.73,1.22
880,-9.88,-0.61,-0.45,-0.12,-0.67,1.34
890,-9.64,-0.70,-0.15,0.61,-0.43,1.28
900,-9.69,-0.51,-0.04,0.06,-0.67,1.34
910,-9.64,-0.59,-0.45,-0.18,-0.85,1.40
920,-9.57,-0.58,-0.39,0.43,-0.61,1.34
930,-9.77,-0.63,0.13,0.73,-0.31,1.34
940,-9.65,-0.58,0.16,0.37,-0.55,1.40
950,-9.70,-0.48,-0.24,-0.18,-0.67,1.28
960,-9.81,-0.60,-0.16,0.43,-0.49,1.34
970,-9.83,-0.54,0.21,0.79,-0.55,1.28
980,-9.80,-0.48,-0.04,0.06,-0.61,1.22
990,-9.80,-0.54,-0.38,-0.37,-0.67,1.22
