timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.79,-0.70,-0.53,-0.12,-0.73,1.34
10,-9.72,-0.55,0.14,0.79,-0.18,1.22
20,-9.87,-0.54,0.05,0.31,-0.49,1.28
30,-9.41,-0.59,-0.33,-0.31,-0.67,1.16
40,-9.92,-0.58,-0.39,0.00,-0.73,1.22
50,-9.59,-0.67,-0.12,0.61,-0.37,1.28
60,-9.73,-0.45,0.27,0.61,-0.31,1.16
70,-9.81,-0.48,-0.04,0.00,-0.61,1.10
80,-9.55,-0.72,-0.35,0.31,-0.61,1.16
90,-9.94,-0.54,0.22,0.79,-0.24,1.16
100,-9.73,-0.53,0.13,0.43,-0.37,1.28
110,-10.04,-0.60,-0.34,-0.12,-0.61,1.22
120,-9.92,-0.62,-0.45,0.00,-0.73,1.40
130,-9.83,-0.60,-0.05,0.49,-0.43,1.28
140,-9.78,-0.58,0.16,0.67,-0.55,1.34
150,-9.52,-0.53,-0.40,-0.24,-0.67,1.28
160,-9.59,-0.61,-0.35,0.24,-0.55,1.22
170,-9.87,-0.46,0.09,0.79,-0.24,1.28
180,-9.80,-0.41,0.18,0.49,-0.37,1.34
190,-9.75,-0.54,-0.19,-0.24,-0.73,1.28
200,-9.82,-0.69,-0.52,-0.24,-0.67,1.22
210,-9.68,-0.57,-0.19,0.92,-0.37,1.28
220,-9.89,-0.54,0.05,0.18,-0.79,1.34
230,-9.47,-0.64,-0.34,-0.55,-1.10,1.28
240,-9.94,-0.60,-0.41,-0.06,-0.85,1.28
250,-9.65,-0.65,-0.11,0.79,-0.24,1.34
260,-9.62,-0.46,0.31,0.67,-0.24,1.40
270,-9.93,-0.46,-0.04,-0.12,-0.55,1.34
280,-9.79,-0.56,-0.39,0.24,-0.49,1.10
290,-10.06,-0.52,0.20,0.92,-0.43,1.16
300,-9.68,-0.54,0.15,0.24,-0.49,1.16
310,-10.01,-0.60,-0.33,-0.37,-0.61,1.34
320,-9.93,-0.60,-0.49,-0.12,-0.55,1.34
330,-9.75,-0.60,-0.09,0.67,-0.37,1.22
340,-9.80,-0.60,0.17,0.61,-0.37,1.40
350,-9.56,-0.50,-0.40,-0.37,-0.92,1.16
360,-9.62,-0.67,-0.40,0.18,-0.73,1.16
370,-9.86,-0.50,0.06,0.85,-0.24,1.22
380,-9.74,-0.40,0.21,0.37,-0.31,1.22
390,-9.82,-0.51,-0.17,-0.24,-0.67,1.22
400,-9.81,-0.71,-0.54,-0.24,-0.73,1.22
410,-9.74,-0.59,-0.22,0.49,-0.31,1.34
420,-9.83,-0.57,0.07,0.12,-0.31,1.22
430,-9.48,-0.66,-0.31,-0.43,-0.73,1.16
440,-10.04,-0.53,-0.39,-0.12,-0.79,1.34
450,-9.60,-0.68,-0.17,0.67,-0.18,1.22
460,-9.64,-0.50,0.29,0.61,-0.24,1.22
470,-9.82,-0.44,0.00,-0.06,-0.49,1.16
480,-9.79,-0.54,-0.46,0.31,-0.61,1.28
490,-10.01,-0.52,0.21,0.79,-0.24,1.34
500,-9.74,-0.50,0.14,0.37,-0.43,1.28
510,-10.02,-0.62,-0.34,-0.37,-0.85,1.16
520,-9.98,-0.57,-0.46,-0.12,-0.79,1.34
530,-9.85,-0.60,-0.10,0.79,-0.37,1.28
540,-9.96,-0.57,0.11,0.73,-0.24,1.16
550,-9.66,-0.43,-0.34,-0.37,-0.73,1.34
560,-9.62,-0.65,-0.45,0.12,-0.49,1.22
570,-9.76,-0.51,0.04,0.79,-0.18,1.28
580,-9.69,-0.44,0.22,0.49,-0.43,1.28
590,-9.70,-0.50,-0.14,-0.24,-0.67,1.22
600,-9.76,-0.69,-0.55,-0.24,-0.67,1.10
610,-9.66,-0.58,-0.23,0.37,-0.43,1.34
620,-9.96,-0.58,0.04,0.24,-0.55,1.10
630,-9.58,-0.66,-0.38,-0.31,-0.98,1.16
640,-10.00,-0.56,-0.40,0.00,-0.73,1.46
650,-9.71,-0.67,-0.13,0.67,-0.24,1.22
660,-9.68,-0.49,0.27,0.61,-0.18,1.22
670,-9.89,-0.47,-0.05,-0.12,-0.49,1.16
680,-9.77,-0.50,-0.45,15.20,-0.37,1.34
690,-10.11,-0.47,0.19,0.85,-0.24,1.16
700,-9.57,-0.55,0.14,0.43,-0.37,1.22
710,-10.04,-0.61,-0.33,-0.24,-0.67,1.34
720,-9.96,-0.61,-0.49,0.00,-0.73,1.22
730,-9.77,-0.56,-0.10,0.61,-0.37,1.28
740,-9.98,-0.57,0.11,0.67,-0.24,1.22
750,-9.67,-0.41,0.03,-0.37,-0.73,1.28
760,-9.73,-0.62,-0.38,0.12,-0.61,1.22
770,-9.60,-0.55,0.02,0.79,-0.31,1.22
780,-9.86,-0.43,0.20,0.49,-0.49,1.16
790,-9.78,-0.51,-0.16,-0.49,-0.61,1.22
800,-9.70,-0.70,-0.56,-0.37,-0.79,1.34
810,-9.73,-0.58,-0.21,0.55,-0.49,1.22
820,-9.57,-0.54,0.02,0.24,-0.55,1.22
830,-9.58,-0.63,-0.33,-0.37,-0.55,1.22
840,-9.97,-0.53,-0.38,0.06,-0.49,1.34
850,-9.70,-0.68,-0.15,0.85,-0.24,1.22
860,-9.60,-0.49,0.28,0.79,-0.43,1.40
870,-9.91,-0.45,-0.00,-0.06,-0.61,1.34
880,-9.81,-0.54,-0.47,-0.43,-0.85,1.04
890,-10.09,-0.49,0.22,0.79,-0.24,1.16
900,-9.64,-0.52,0.17,0.43,-0.24,1.16
