timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.10,4.69,-2.21,-0.15,-0.14,-1.09
9,-0.32,3.42,1.30,-0.07,0.00,-1.07
18,-1.43,3.80,1.99,-0.03,0.18,-1.08
27,0.03,2.67,-4.84,-0.06,0.13,-1.10
36,1.03,1.84,-4.78,-0.11,-0.13,-1.08
45,-2.51,3.86,2.18,-0.13,-0.05,-1.09
54,-0.51,5.09,1.51,-0.05,0.13,-1.08
63,-0.30,5.01,-3.64,-0.01,0.19,-1.06
72,-2.03,5.13,-4.02,-0.11,-0.01,-1.10
81,-0.61,4.57,-2.69,-0.13,-0.09,-1.11
90,-1.65,4.23,1.64,-0.06,0.04,-1.07
99,-3.03,4.48,1.64,-0.03,0.23,-1.09
108,1.01,3.15,-6.05,-0.06,0.10,-1.09
117,-1.04,4.47,-4.33,-0.11,-0.08,-1.08
126,-3.97,6.11,2.92,-0.13,-0.05,-1.11
135,-0.67,4.82,0.29,-0.02,0.15,-1.07
144,-0.88,5.21,-2.57,-0.02,0.17,-1.06
153,-1.55,4.63,-4.32,-0.11,-0.02,-1.12
162,-0.22,3.84,-3.18,-0.11,-0.10,-1.10
171,-3.26,5.19,3.39,-0.07,0.04,-1.08
180,-1.82,4.17,-0.03,-0.03,0.23,-1.10
189,1.21,4.15,-6.44,-0.05,0.07,-1.07
198,-1.74,5.52,-2.64,-0.12,-0.09,-1.10
207,-2.43,6.49,2.48,-0.12,-0.04,-1.09
216,0.39,2.83,-0.04,-0.02,0.18,-1.06
225,-1.70,4.92,-2.05,-0.04,0.15,-1.08
234,-0.59,4.44,-4.98,-0.11,-0.01,-1.11
243,0.34,3.17,-0.67,-0.12,-0.14,-1.08
252,-4.92,6.11,4.89,-0.08,0.12,-1.10
261,0.21,4.23,-1.19,-0.03,0.18,-1.08
270,0.85,4.72,-6.23,-0.05,0.06,-1.08
279,-0.25,4.07,-1.79,-0.14,-0.14,-1.09
288,-0.71,4.25,1.52,-0.10,0.01,-1.09
297,0.46,1.79,1.94,-0.04,0.13,-1.06
306,-0.96,3.97,-2.56,-0.06,0.15,-1.09
315,1.41,2.72,-5.28,-0.11,-0.09,-1.08
324,-0.37,3.16,0.30,-0.12,-0.09,-1.08
333,-0.75,3.47,3.24,-0.07,0.09,-1.08
342,0.25,4.81,-2.20,-0.03,0.18,-1.08
351,-0.16,5.23,-4.83,-0.08,0.00,-1.10
360,0.01,4.03,-2.16,-0.14,-0.13,-1.10
369,0.31,2.46,1.23,-0.08,-0.00,-1.08
378,-1.80,3.39,2.03,-0.03,0.19,-1.07
387,-0.96,3.28,-3.65,-0.06,0.13,-1.10
396,1.05,2.27,-5.14,-0.12,-0.12,-1.09
405,-1.81,3.02,1.21,-0.12,-0.06,-1.10
414,-1.30,4.19,2.22,-0.04,0.13,-1.08
423,-0.91,5.26,-2.78,-0.01,0.19,-1.07
432,-1.32,4.85,-4.74,-0.10,-0.01,-1.10
441,-0.29,3.84,-2.36,-0.12,-0.08,-1.11
450,-2.15,4.29,2.65,-0.06,0.03,-1.07
459,-1.88,4.10,0.54,-0.03,0.24,-1.09
468,1.02,3.21,-5.78,-0.05,0.10,-1.09
477,-2.03,5.47,-3.08,-0.12,-0.07,-1.09
486,-1.95,6.18,2.40,-0.13,-0.06,-1.09
495,-0.50,4.11,0.53,-0.01,0.15,-1.07
504,-1.68,5.36,-1.87,-0.02,0.17,-1.07
513,-0.53,4.98,-5.35,-0.11,-0.01,-1.11
522,0.13,2.92,-0.99,-0.12,-0.12,-1.09
531,-4.35,4.87,5.30,-0.08,0.04,-1.10
540,0.43,3.49,-1.19,-0.03,0.22,-1.09
549,1.05,4.06,-5.95,-0.05,0.06,-1.08
558,-1.80,5.02,-1.12,-0.13,-0.08,-1.12
567,0.18,3.78,0.92,-0.11,-0.04,-1.10
576,0.22,2.88,0.99,-0.02,0.17,-1.06
585,-1.31,4.28,-2.17,-0.04,0.15,-1.10
594,0.92,4.01,-5.54,-0.11,-0.02,-1.12
603,-0.10,2.92,0.26,-0.12,-0.14,-1.08
612,-2.29,4.29,3.76,-0.09,0.12,-1.11
621,0.81,4.00,-2.36,-0.03,0.18,-1.10
630,-0.24,5.01,-5.00,-0.06,0.04,-1.08
639,0.10,3.74,-1.65,-0.15,-0.13,-1.11
648,1.18,2.04,0.53,-0.09,-0.00,-1.10
657,-1.68,3.39,2.12,-0.03,0.14,-1.07
666,-1.41,3.62,-2.95,-0.07,0.14,-1.10
675,2.37,2.22,-6.10,-0.11,-0.09,-1.08
684,-1.17,2.45,1.33,-0.12,-0.09,-1.08
693,-1.18,3.52,3.12,-0.07,0.11,-1.09
702,1.31,3.99,-3.85,-0.02,0.18,-1.08
711,-1.10,4.91,-4.33,-0.08,0.01,-1.08
720,-1.21,4.63,-1.84,-0.15,-0.13,-1.10
729,0.06,2.62,1.18,-0.07,0.00,-1.08
738,-1.92,4.35,1.36,-0.03,0.19,-1.08
747,-0.20,3.21,-4.70,-0.07,0.13,-1.11
756,0.18,3.75,-4.79,-0.11,-0.12,-1.08
765,-1.67,2.93,1.40,-0.12,-0.06,-1.10
774,-0.71,5.03,1.71,-0.04,0.13,-1.08
783,-0.12,4.42,-3.85,-0.01,0.19,-1.07
792,-1.80,4.66,-4.21,-0.10,-0.02,-1.09
801,-0.80,4.20,-2.33,-0.13,-0.09,-1.10
